"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.43.128","192.168.43.2","DNS","76","Standard query 0x2d34 HTTPS www.google.com"
"2","0.000731805","192.168.43.128","192.168.43.2","DNS","76","Standard query 0xcd30 A www.google.com"
"3","0.013875243","192.168.43.2","192.168.43.128","DNS","101","Standard query response 0x2d34 HTTPS www.google.com HTTPS"
"4","0.021629128","192.168.43.2","192.168.43.128","DNS","92","Standard query response 0xcd30 A www.google.com A 142.250.196.196"
"5","0.022103784","192.168.43.128","142.250.196.196","QUIC","1294","Initial, DCID=57f5032d6af65a9d, PKN: 1, CRYPTO, PADDING, PING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO"
"6","0.022156210","192.168.43.128","142.250.196.196","QUIC","1294","Initial, DCID=57f5032d6af65a9d, PKN: 2, CRYPTO"
"7","0.022174466","192.168.43.128","142.250.196.196","QUIC","1294","Initial, DCID=57f5032d6af65a9d, PKN: 3, PADDING, PING, PING, PADDING, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, PING, PING, PADDING, CRYPTO, PING, PADDING"
"8","0.022256227","192.168.43.128","142.250.196.196","QUIC","126","0-RTT, DCID=57f5032d6af65a9d"
"9","0.037317115","142.250.196.196","192.168.43.128","QUIC","84","Initial, SCID=f7f5032d6af65a9d, PKN: 1, ACK"
"10","0.037317329","142.250.196.196","192.168.43.128","QUIC","84","Initial, SCID=f7f5032d6af65a9d, PKN: 2, ACK"
"11","0.037317348","142.250.196.196","192.168.43.128","QUIC","1294","Initial, SCID=f7f5032d6af65a9d, PKN: 3, ACK, PADDING"
"12","0.037317366","142.250.196.196","192.168.43.128","QUIC","1294","Initial, SCID=f7f5032d6af65a9d, PKN: 4, ACK, PADDING"
