"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.43.128","192.168.43.2","DNS","98","Standard query 0x180a HTTPS rr5---sn-ipoxu-u2xee.googlevideo.com"
"2","0.000066816","192.168.43.128","192.168.43.2","DNS","98","Standard query 0x0733 A rr5---sn-ipoxu-u2xee.googlevideo.com"
"3","0.000067714","192.168.43.128","192.168.43.2","DNS","98","Standard query 0x0c32 AAAA rr5---sn-ipoxu-u2xee.googlevideo.com"
"4","0.007840549","192.168.43.2","192.168.43.128","DNS","147","Standard query response 0x0733 A rr5---sn-ipoxu-u2xee.googlevideo.com CNAME rr5.sn-ipoxu-u2xee.googlevideo.com A 203.75.52.144"
"5","0.012023614","192.168.43.2","192.168.43.128","DNS","159","Standard query response 0x0c32 AAAA rr5---sn-ipoxu-u2xee.googlevideo.com CNAME rr5.sn-ipoxu-u2xee.googlevideo.com AAAA 2001:b032:5d00:d10::10"
"6","0.012771822","192.168.43.2","192.168.43.128","DNS","153","Standard query response 0x180a HTTPS rr5---sn-ipoxu-u2xee.googlevideo.com CNAME rr5.sn-ipoxu-u2xee.googlevideo.com HTTPS"
"7","0.013542435","192.168.43.128","203.75.52.144","QUIC","1296","Initial, DCID=9d83e96b788e7d59, SCID=63d66f, PKN: 0, CRYPTO, CRYPTO"
"8","0.013585264","192.168.43.128","192.168.43.2","DNS","96","Standard query 0xd4c1 A rr5.sn-ipoxu-u2xee.googlevideo.com"
"9","0.013609868","192.168.43.128","203.75.52.144","QUIC","1296","Initial, DCID=9d83e96b788e7d59, SCID=63d66f, PKN: 1, CRYPTO"
"10","0.013610773","192.168.43.128","203.75.52.144","QUIC","1296","0-RTT, DCID=9d83e96b788e7d59, SCID=63d66f"
"11","0.013626662","192.168.43.128","192.168.43.2","DNS","96","Standard query 0xdac2 AAAA rr5.sn-ipoxu-u2xee.googlevideo.com"
"12","0.024871592","203.75.52.144","192.168.43.128","QUIC","87","Initial, DCID=63d66f, SCID=fd83e96b788e7d59, PKN: 1, ACK"
"13","0.024871809","203.75.52.144","192.168.43.128","QUIC","87","Initial, DCID=63d66f, SCID=fd83e96b788e7d59, PKN: 2, ACK"
"14","0.024871827","203.75.52.144","192.168.43.128","QUIC","1296","Initial, DCID=63d66f, SCID=fd83e96b788e7d59, PKN: 3, ACK, PADDING"
"15","0.027117300","203.75.52.144","192.168.43.128","QUIC","1296","Initial, DCID=63d66f, SCID=fd83e96b788e7d59, PKN: 4, ACK, PADDING"
"16","0.027117402","203.75.52.144","192.168.43.128","QUIC","1296","Handshake, DCID=63d66f, SCID=fd83e96b788e7d59"
"17","0.027117421","203.75.52.144","192.168.43.128","QUIC","1296","Handshake, DCID=63d66f, SCID=fd83e96b788e7d59"
"18","0.027117441","203.75.52.144","192.168.43.128","QUIC","1296","Handshake, DCID=63d66f, SCID=fd83e96b788e7d59"
"19","0.027117456","203.75.52.144","192.168.43.128","QUIC","1165","Protected Payload (KP0), DCID=63d66f"
"20","0.027117473","192.168.43.2","192.168.43.128","DNS","112","Standard query response 0xd4c1 A rr5.sn-ipoxu-u2xee.googlevideo.com A 203.75.52.144"
